Site Name,Site Code,latitude,longitude
ABHA - Abham Substation,ABHA,50.4716733,-3.7309283
ABTH - Aberthaw Substation,ABTH,51.3883366,-3.4032144
ALDW - Aldwarke Substation,ALDW,53.4455045,-1.320594
ALVE - Alverdiscott Substation,ALVE,51.0059049,-4.1364787
AMEM - Amersham Substation,AMEM,51.6651594,-0.65634
AXMI - Axminster Substation,AXMI,50.7864998,-2.9246377
BACT - Bacton Substation,BACT,52.660393,0.793521
BAGB - Baglan Bay Substation,BAGB,51.6169976,-3.8324675
BARK - Barking Substation,BARK,51.5226033,0.115365
BARW - Barking West Substation,BARW,51.520169,0.115479
BEDD - Beddington Substation,BEDD,51.3725629,-0.1264688
BEDT - Beddington Tee Substation,BEDT,51.37295,-0.12795
BENR - Bengeworth Road Substation,BENR,51.465772,-0.098387
BESW - Berkswell Substation,BESW,52.3858536,-1.615489
BICF - Bickerfen Substation,BICF,52.9308108,-0.2211776
BIRK - Birkenhead Substation,BIRK,53.3657481,-3.0627474
BISW - Bishops Wood Substation,BISW,52.3121115,-2.2416907
BLYT - Blyth Substation,BLYT,55.1411626,-1.5306015
BODE - Bodelwyddan Substation,BODE,53.25014,-3.4761171
BOLN - Bolney Substation,BOLN,50.9752306,-0.2350781
BOTW - Botley Wood Substation,BOTW,50.8845066,-1.2320607
BRAI - Braintree Substation,BRAI,51.8649112,0.576343
BRAW - Bradford West Substation,BRAW,53.8105001,-1.8653484
BRED - Bredbury Substation,BRED,53.4145467,-2.1289257
BRFO - Bramford Substation,BRFO,52.0713149,1.0621494
BRIM - Brimsdown Substation,BRIM,51.6635045,-0.0249397
BRIN - Brinsworth Substation,BRIN,53.4014942,-1.3520318
BRLE - Bramley Substation,BRLE,51.336092,-1.0773424
BRWA - Bridgwater Substation,BRWA,51.117323,-2.9689897
BULL - Bulls Lodge,BULL,51.765916,0.537433
BURW - Burwell Main Substation,BURW,52.2800743,0.3121167
BUSH - Bushbury Substation,BUSH,52.6362292,-2.1147683
BUST - Bustleholme Substation,BUST,52.5528971,-1.9640488
CAMA - Cambridge Arms Substation,CAMA,51.474513,-2.610276
CAML - Camblesforth Substation,CAML,53.7294667,-1.0008175
CANT - Canterbury Substation,CANT,51.2923333,1.0941425
CAPE - Capenhurst Substation,CAPE,53.2687725,-2.9492216
CARE - Cardiff East Substation,CARE,51.4947919,-3.1454226
CARR - Carrington Substation 275kv,CARR,53.4362675,-2.4071607
CARR - Carrington Substation 400kv,CARR,53.4362675,-2.4071607
CEFC - Cefn Croes Substation,CEFC,52.412793,-3.755093
CELL - Cellarhead Substation,CELL,53.0408884,-2.0826093
CHIC - Chickerell Substation,CHIC,50.6246451,-2.4865271
CHIL - Chilling Substation,CHIL,50.821745,-1.32857
CHSI - Chessington Substation,CHSI,51.3441149,-0.3227094
CHTE - Chesterfield Substation,CHTE,53.2245523,-1.3888986
Unknown - from ETYS,CHUE,51.490805,0.3119
CILF - Cilfynydd Substation,CILF,51.6359308,-3.3002428
CITR - City Road Substation,CITR,51.5301876,-0.0957412
CLEH - Cleve Hill Substation,CLEH,51.33821,0.9403402
CLTO - Clacton Substation,CLTO,51.824923,1.180027
CONQ - Connahs Quay Substation,CONQ,53.2299029,-3.0739134
COSO - Coryton South Substation,COSO,51.512869,0.5067038
COTT - Cottam Substation,COTT,53.3007371,-0.7812314
COVE - Coventry Substation,COVE,52.4564638,-1.4637597
COWL - Cowley Substation,COWL,51.7115242,-1.1905126
Unknown - from ETYS,COWT,51.4635,-3.4483
CREB - Creyke Beck Substation,CREB,53.8006736,-0.4152764
CULJ - Culham Jet Substation,CULJ,51.661185,-1.2283331
DAIN - Daines Substation,DAIN,53.4257165,-2.3790951
DAMC - Damhead Creek Substation,DAMC,51.4243519,0.5986603
DIDC - Didcot Substation,DIDC,51.6255894,-1.2592372
DINO - Dinorwig Substation,DINO,53.1214799,-4.1000743
DISS - Diss Substation,DISS,,
DRAK - Drakelow Substation,DRAK,52.7737995,-1.6530489
DRAX - Drax Substation,DRAX,53.73623,-0.9924143
DUNG - Dungeness Substation,DUNG,50.9149978,0.9474265
EACS - East Anglia Coastal Substation Substation,EACS,,
EALI - Ealing Substation,EALI,51.501853,-0.2961377
EASO - Eaton Socon Substation,EASO,52.214647,-0.3016446
ECLA - East Claydon Substation,ECLA,51.9262506,-0.907189
EGGB - Eggborough Substation,EGGB,53.7134214,-1.1297638
ELLA - Elland Substation,ELLA,53.6938903,-1.8237307
ELST - Elstree Substation,ELST,51.661503,-0.3453766
ENDE - Enderby Substation,ENDE,52.5976328,-1.2170178
EXET - Exeter Substation,EXET,50.7675723,-3.4051929
FAWL - Fawley Substation,FAWL,50.821745,-1.32857
FECK - Feckenham Substation,FECK,52.2499244,-1.9719288
Unknown - from ETYS,FENW,53.63945,-1.102475
FERRC - Ferrybridge C Substation,FERR,53.7193632,-1.2717852
FERRA - Ferrybridge A Substation,FERR,53.7178811,-1.2828835
FERRB - Ferrybridge B Substation,FERR,53.7172745,-1.284908
FFES - Ffestiniog Substation,FFES,52.9807405,-3.9690136
FIDF - Fiddlers Ferry Substation,FIDF,53.3712945,-2.6891076
FLEE - Fleet Substation,FLEE,51.2512879,-0.8833587
FLIB - Flintshire Bridge Converter Station,FLIB,53.238309,-3.04548
FOUR - Fourstones Substation,FOUR,55.0118266,-2.1641879
FOUX - Four Crosses Substation,FOUX,,
FRIN - Friston North Substation,FRIN,,
FRIS - Friston Substation,FRIS,,
