Node,Space,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31
ABHA4A,,198,201,206,210,214,220,229,239
ABHA4B,,342,346,352,358,366,377,391,415
ABNE10,,292,297,306,316,325,334,346,362
ABTH20,,71,73,76,78,80,82,91,96
ALDW20,,7,7,7,7,7,7,8,8
ALNE1Q,,22,27,33,44,54,65,76,85
ALNE1R,,207,220,224,228,232,237,241,247
ALVE4A,,-18,-19,-20,-20,-21,-21,-22,-23
ALVE4B,,16,16,16,17,18,19,20,21
AMEM4A_EPN,,23,55,72,75,78,80,83,85
AMEM4A_SEP,,13,13,13,13,14,15,15,16
AMEM4B_EPN,,208,241,246,248,253,259,270,281
AMEM4B_SEP,,108,141,142,140,145,150,154,159
ARBR1Q,,22,27,33,44,54,65,76,85
ARBR1R,,135,146,160,231,235,239,243,249
ARDK10,,35,35,35,35,35,35,35,35
ARMO10,,4,4,4,4,4,4,4,4
AXMI40_SEP,,11,11,41,42,42,42,43,44
AXMI40_WPD,,9,9,9,8,9,9,9,10
AYR-2Q,,177,180,186,194,205,215,226,236
AYR-2R,,61,62,62,62,63,64,64,65
BAGA1Q,,24,77,80,143,146,149,152,155
BAGA1R,,117,119,119,119,120,121,125,128
BAIN10,,2,2,2,2,2,2,2,2
BARK20_EPN,,74,74,76,77,80,82,85,88
BARK20_LPN,,297,301,304,304,306,310,313,319
BEAU10,,423,427,435,451,472,499,535,572
BEDD20_LPN,,595,615,637,663,691,728,769,823
BEDD20_SPN,,12,13,14,16,14,16,19,21
BERB20,,139,139,141,144,148,151,155,163
BERW1Q,,372,382,393,402,413,427,443,443
BERW1R,,117,119,119,119,120,121,125,128
BESW20,,27,27,29,30,31,33,34,35
BICF4A,,21,24,26,89,92,96,99,102
BICF4B,,8,8,8,8,8,8,36,36
BIRK20,,44,45,46,47,49,50,52,56
BISW20,,350,379,386,392,401,412,427,444
BLYT20,,28,34,36,60,61,62,64,65
BOAG1Q,,0,0,0,0,0,0,0,0
BOAG1R,,135,146,160,231,235,239,243,249
BOLN40,,53,46,47,57,59,60,53,54
BONN10,,131,133,136,138,140,144,149,156
BOTW40,,11,11,41,42,42,42,43,44
BRAI4A,,33,33,33,34,34,35,36,36
BRAI4B,,-6,-6,-6,-6,-6,-6,-6,-6
BRAP10,,43,45,47,51,55,60,65,72
BRAW20,,57,59,61,65,69,75,80,86
BRED20,,24,28,33,39,44,49,54,60
BRFO40,,97,99,102,105,108,111,115,121
BRID1Q,,32,32,33,33,33,35,36,38
BRID1R,,26,33,39,46,53,61,69,77
BRIM2A_EPN,,145,144,146,148,150,152,185,186
BRIM2A_LPN,,11,10,10,11,16,17,17,18
BRIM2B_EPN,,187,187,217,224,233,248,261,279
BRIM2B_LPN,,119,121,125,131,137,144,150,158
BRIM2C_EPN,,43,45,47,49,53,58,63,69
BRIM2C_LPN,,182,180,186,194,205,215,226,238
BRLE40,,1,1,1,1,1,1,1,1
BROA1Q,,139,139,141,144,148,151,155,163
BROR10,,147,154,157,160,177,182,187,202
BROX1Q,,237,236,233,233,231,233,241,247
BROX1R,,311,323,329,327,331,331,344,350
BRWA2A,,22,22,22,22,22,23,23,23
BRWA2B,,16,16,16,17,18,19,20,21
BULL40,,98,101,105,115,123,128,133,138
BUMU10,,20,21,22,22,23,24,24,26
BURW40,,229,237,246,257,272,291,310,337
BUSH20,,163,167,172,179,186,196,206,220
BUST20,,163,167,172,179,186,196,206,220
CAAD1Q,,94,97,99,103,107,113,120,130
CAAD1R,,23,30,36,43,50,58,66,74
CAFA1Q,,-3,-3,-2,-2,-2,-2,-2,-2
CAIN20,,20,21,22,22,23,24,24,26
CANT40,,8,8,8,8,8,8,36,36
CAPE20,,47,73,99,126,154,174,193,213
CARE20,,21,22,23,24,25,27,28,31
CARR20,,302,305,296,255,264,272,275,274
CASS1Q,,0,0,0,0,0,0,0,0
CATY1Q,,464,479,501,528,565,600,635,676
CATY1R,,155,163,173,186,202,217,235,261
CEAN1Q,,7,8,5,6,6,6,7,8
CELL40_SPM,,97,99,102,103,105,108,111,112
CELL40_WPD,,121,123,126,127,129,131,135,140
CHAP10,,-3,-3,-2,-2,-2,-2,-2,-2
CHAR10,,153,180,180,205,205,205,207,212
CHAS2Q,,12,13,14,15,15,16,17,17
CHAS2R,,304,321,331,334,337,342,353,363
CHIC40,,25,29,34,98,102,107,111,115
CHSI20,,18,17,10,4,2,4,6,4
CHTE20,,80,81,87,90,94,98,101,104
CITR41,,33,64,64,65,67,69,71,74
CITR46,,22,24,26,28,30,31,33,35
CLAY1S,,85,88,90,94,99,104,109,117
CLAY1T,,30,30,31,31,32,32,33,34
CLYM20,,79,80,84,89,94,77,80,83
COAT2Q,,12,13,14,15,15,16,17,17
COAT2R,,85,94,97,98,98,100,102,105
COCK20,,79,80,84,89,94,77,80,83
CONQ40,,500,564,564,505,515,519,598,613
COUA1Q,,17,18,63,73,74,75,76,78
COUA1R,,95,95,97,100,102,105,109,113
COVE20,,27,27,29,30,31,33,34,35
COWL40,,22,23,53,85,86,87,89,91
COYL10,,128,209,223,238,254,310,319,325
CRAI10,,504,517,532,553,577,610,647,696
CREB40,,18,44,102,103,105,107,108,111
CROO1Q,,62,97,98,100,102,105,108,111
CROO1R,,21,21,22,48,49,50,52,54
CULJ4A,,244,294,295,297,300,305,310,323
CUMB1Q,,34,35,37,40,42,45,47,49
CUMB1R,,21,21,22,48,49,50,52,54
CUPA1Q,,62,97,98,100,102,105,108,111
CUPA1R,,35,35,36,45,46,47,49,50
CURR10,,14,17,20,23,26,30,33,37
DALM10,,14,17,20,23,26,30,33,37
DEVM10,,137,137,139,142,145,149,152,158
DEVO10,,130,180,182,138,142,149,196,201
DEWP2Q,,34,35,37,40,42,45,47,49
DEWP2R,,35,35,36,45,46,47,49,50
DIDC40,,35,37,39,43,46,50,53,56
DOUN10,,17,17,17,18,19,20,19,20
DRAK20,,186,194,203,211,220,233,251,269
DRAX40,,18,44,102,103,105,107,108,111
DRCR1Q,,34,35,37,40,42,45,47,49
DRCR1R,,2,2,0,0,0,0,0,0
DRUM2Q,,62,97,98,100,102,105,108,111
DRUM2R,,46,62,72,82,92,133,143,155
DUBE1Q,,8,8,8,8,9,9,10,10
DUDH1Q,,17,18,63,73,74,75,76,78
DUDH1R,,-76,-77,-77,-78,-78,-78,-78,-78
DUGR1Q,,8,8,8,8,9,9,10,10
DUMF10,,0,12,12,12,12,12,12,12
DUNB1Q,,827,846,869,903,942,995,1057,1137
DUNB1R,,2,2,0,0,0,0,0,0
DUNF1Q,,11,11,11,12,12,12,12,13
DUNF1R,,334,350,406,452,485,519,544,581
DUNO1Q,,20,23,23,24,25,26,27,29
DUNO1R,,24,24,24,25,26,27,28,28
DYCE1Q,,17,17,17,18,19,20,22,23
DYCE1R,,16,16,16,16,17,18,19,20
EALI20,,22,23,53,85,86,87,89,91
EASO40,,10,10,10,10,10,10,10,10
EAST1Q,,26,30,31,32,33,34,36,38
ECCF1J,,24,74,75,75,76,77,78,80
ECCF1K,,13,13,13,13,13,14,14,14
ECCL10,,12,20,27,35,83,91,100,108
ECLA40_EME,,0,-3,-10,-10,-10,-10,-10,-10
ECLA40_SEP,,95,95,126,154,154,155,156,157
EERH20,,86,90,94,95,98,101,108,113
EKIL2S,,7,2,2,2,2,2,2,3
EKIL2T,,499,515,599,604,610,618,632,662
EKIS20,,16,16,17,17,18,19,21,22
ELDE1Q,,34,69,70,70,71,72,73,74
ELDE1R,,8,8,8,9,9,10,10,10
ELGI1Q,,45,51,57,106,113,119,126,133
ELGI1R,,131,132,135,139,143,146,150,158
ELLA20,,17,20,24,48,52,56,60,64
ELST20,,10,10,10,10,10,10,10,10
ELVA2Q,,38,42,87,92,97,103,108,114
ELVA2R,,57,57,59,60,60,62,63,64
ENDE40,,0,-3,-10,-10,-10,-10,-10,-10
ERSK1Q,,34,69,70,70,71,72,73,74
ERSK1R,,8,8,8,9,9,10,10,10
EXET40,,13,18,22,27,32,37,42,47
FASN20,,162,162,167,186,186,261,261,266
FAUG10,,13,13,13,13,13,13,14,14
FAWL40,,178,194,200,207,216,224,232,242
FECK20,,45,72,74,76,78,80,82,85
FECK40,,252,281,288,293,302,308,322,342
FERR20_YED,,27,27,28,29,30,31,33,35
FERR2A_YED,,16,17,17,17,18,18,19,19
FERR2B_YED,,128,130,127,125,121,123,131,140
FETT20,,29,29,34,53,53,128,128,133
FIDD10,,137,142,142,143,143,143,143,143
FIDF20_SPM,,38,23,18,24,20,21,12,13
FLEE40,,13,13,13,13,14,15,15,16
FOUR20,,28,34,36,60,61,62,64,65
FRAS1Q,,110,114,121,143,165,187,207,228
FRAS1R,,164,168,176,185,195,206,217,229
FROD2A,,97,99,102,105,108,111,115,121
FROD2B,,38,23,18,24,20,21,12,13
FROD40,,372,344,338,355,349,353,350,359
FWIL1Q,,104,114,121,252,258,264,269,275
FWIL1R,,168,169,173,180,185,191,198,208
GALA10,,-3,8,10,5,9,11,22,25
GIFF2Q,,76,78,81,85,89,93,97,103
GIFF2R,,38,39,40,42,44,46,48,51
GLFA10,,13,13,13,13,13,13,14,14
GLLE10,,2,2,2,2,2,2,2,2
GLLU1Q,,0,0,8,8,8,8,8,8
