,GSP,DemandPk,DemandAM,DemandPM
0,ABHA1,254.075,104.032,205.903
1,ABNE_P,40.14,48.482,130.81300000000002
2,ABTH_1,184.799,58.535,94.67699999999999
3,ACTL_2,22.783,7.239,11.507
4,ACTL_C,35.979,10.248000000000001,15.725
5,ALNE_P,28.489,71.688,155.743
6,ALST_3,7.894,1.736,6.691000000000001
7,ALVE1,218.25900000000001,80.104,168.73399999999998
8,AMEM_1,82.256,17.967,38.317
9,ARBR_P,32.64,8.459,11.583
10,ARDK_P,0.0,15.908,47.723
11,ARMO_P,31.061,21.038999999999998,63.392
12,AXMI1,165.5,60.793,95.17
13,AYRR,45.329,20.387999999999998,49.094
14,BAGA,37.946,30.196,64.354
15,BAIN,18.484,21.241999999999997,55.06699999999999
16,BARKC1,103.97,21.182000000000002,61.47
17,BARKW3,204.91,72.2,82.386
18,BEAU_P,27.439999999999998,11.413,15.312
19,BEDDT1,133.67,26.214,44.504
20,BEDD_1,431.619,134.067,180.107
21,BERB_P,0.0,0.0,0.0
22,BERW,36.995,41.829,88.352
23,BESW_1,303.175,95.12,152.524
24,BICF_1,137.885,95.564,167.167
25,BIRK_1,212.47199999999998,16.533,71.018
26,BISW_1,486.768,163.473,230.702
27,BLYTB1,435.959,199.381,190.235
28,BLYTH132,58.861000000000004,9.962,18.847
29,BOAG_P,22.725,19.374000000000002,26.9
30,BOLN_1,802.901,253.16299999999998,359.452
31,BONN,61.806999999999995,5.779999999999999,14.115
32,BOTW_1,146.591,59.012,106.468
33,BRAC_P,28.603,11.365,16.745
34,BRAI_1,211.543,61.2,113.46000000000001
35,BRAP,30.501,10.463,21.88
36,BRAW_1,387.314,109.236,173.813
37,BRED_1,281.82800000000003,89.989,116.584
38,BRFO_1,698.939,143.337,274.598
39,BRID_P,27.931,11.488,16.253999999999998
40,BRIM_1,294.079,94.26899999999999,128.154
41,BRLE_1,540.061,175.60999999999999,215.608
42,BROA_P,14.603000000000002,4.963,6.965
43,BROR_P,7.183,3.039,4.289
44,BROX,53.076,17.777,38.484
45,BRWA1,193.89499999999998,77.771,180.71800000000002
46,BUMU_P,42.9,12.573,17.532
47,BURM_1,289.00800000000004,107.783,223.602
48,BUSH_1,165.314,36.376,58.59
49,BUST_1,265.307,89.006,110.111
50,B_EXTRA_1,0.0,0.0,0.0
51,B_EXTRA_100,0.0,0.0,0.0
52,B_EXTRA_101,0.0,0.0,0.0
53,B_EXTRA_102,0.0,0.0,0.0
54,B_EXTRA_103,0.0,0.0,0.0
55,B_EXTRA_104,0.0,0.0,0.0
56,B_EXTRA_105,0.0,0.0,0.0
57,B_EXTRA_106,0.0,0.0,0.0
58,B_EXTRA_107,0.0,0.0,0.0
59,B_EXTRA_108,0.0,0.0,0.0
60,B_EXTRA_109,0.0,0.0,0.0
61,B_EXTRA_11,0.0,0.0,0.0
62,B_EXTRA_110,0.0,0.0,0.0
63,B_EXTRA_111,0.0,0.0,0.0
64,B_EXTRA_112,0.0,0.0,0.0
65,B_EXTRA_113,0.0,0.0,0.0
66,B_EXTRA_114,0.0,0.0,0.0
67,B_EXTRA_115,0.0,0.0,0.0
68,B_EXTRA_116,0.0,0.0,0.0
69,B_EXTRA_117,0.0,0.0,0.0
70,B_EXTRA_118,0.0,0.0,0.0
71,B_EXTRA_119,0.0,0.0,0.0
72,B_EXTRA_12,0.0,0.0,0.0
73,B_EXTRA_120,0.0,0.0,0.0
74,B_EXTRA_121,0.0,0.0,0.0
75,B_EXTRA_122,0.0,0.0,0.0
76,B_EXTRA_123,0.0,0.0,0.0
77,B_EXTRA_124,0.0,0.0,0.0
78,B_EXTRA_125,0.0,0.0,0.0
79,B_EXTRA_126,0.0,0.0,0.0
80,B_EXTRA_127,0.0,0.0,0.0
