,_id,Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID
0,1,A'Chruach Wind Farm,A'CHRUACH WIND FARM LIMITED,A'Chruach Wind Farm 275kV Substation,,43,0,43,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005itE
1,2,Abedare,UK POWER RESERVE LIMITED,Upperboat 132kV Substation,,10,0,10,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iWR
2,3,Aberarder Wind Farm,ABERARDER WIND FARM LLP,Aberarder Wind Farm 132/33kV Substation,,0,51.6,51.6,30/08/2024,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilH
3,4,Aberdeen Offshore Wind Farm,ABERDEEN OFFSHORE WIND FARM LIMITED,,,95.5,0,95.5,,Built,Directly Connected,SHET,Wind Offshore,a0l4L0000005itB
4,5,Abergelli Power Limited,ABERGELLI POWER LIMITED,Swansea North 400kV Substation,,0,299,299,29/09/2025,Consents Approved,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ilK
5,6,Aberthaw,RWE GENERATION UK PLC,Aberthaw 275kV Substation,,0,0,0,,Built,Directly Connected,NGET,Coal,a0l4L0000005itD
6,7,Aberthaw (Tertiary),ENSO GREEN HOLDINGS LIMITED,Aberthaw 275kV Substation,,0,57,57,31/10/2024,Scoping,Directly Connected,NGET,Hybrid,a0l4L0000005ixj
7,8,Aberthaw Energy,ABERTHAW ENERGY LIMITED,Aberthaw 275kV Substation,,0,249,249,30/10/2028,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iet
8,9,Aberthaw PV & BESS Generation,CYP SOLAR LIMITED,Aberthaw 275kV Substation,,0,200,200,30/06/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikS
9,10,Abhainn Dubh Wind Farm,E Power Limited,Abhainn Dubh Wind Farm 132kV Substation,,0,75,75,31/05/2029,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ivF
10,11,Achany Extension Wind Farm,SSE GENERATION LIMITED,ACHANY EXTENSION WIND FARM 132/33KV Substation,,0,105,105,31/10/2026,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iiY
11,12,Acharole Wind Farm,EDF ENERGY RENEWABLES LIMITED,Mybster 3 33kV Substation,,0,52.8,52.8,30/06/2027,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iYG
12,13,Achrugan Wind Farm,Statkraft Windco 1 Limited,Achrugan 132kV Substation,,0,149,149,31/07/2029,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ivE
13,14,Ackron Wind Farm,ACKRON WIND FARM LTD,Dounreay GSP,,0,49.9,49.9,30/08/2026,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iTj
14,15,Afton Wind Farm,AFTON WIND FARM LIMITED,Afton 132kV/33kV Substation,,50,0,50,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipi
15,16,Aigas (part of the Beauly Cascade),SSE GENERATION LIMITED,Aigas Hydro 132kV Substation,,20,0,20,,Built,Directly Connected,SHET,Hydro,a0l4L0000005itF
