Connection Site,etys_sub_map,HOST TO,Project No
Mablethorpe 400kV Substation,MABL4,NGET,PRO-000980
Lovedean 400kV Substation,LOVE4,NGET,PRO-000285
Auchencrosh 275kV Substation,AUCH2,SPT,PRO-001292-1
Auchencrosh 275kV Substation,AUCH2,SPT,PRO-001292-2
Grain 400kV Substation,GRAI4,NGET,PRO-000280
Creyke Beck 400kV Substation,CREB4,NGET,PRO-000977
Kemsley 400kV Substation,KEMS4,NGET,PRO-000984
Deeside 400kV Substation,CONQ4,NGET,PRO-000284
Sellindge 400kV Substation,SELL4,NGET,PRO-000286
Exeter 400kV Substation,EXET4,NGET,PRO-000281
Pembroke 400kV Substation,PEMB4,NGET,PRO-000279
Kingsnorth 400kV Substation,KINO4,NGET,PRO-000287
Sellindge 400kV Substation,SELL4,NGET,PRO-000282
Chilling 400kV Substation,CHIL4,NGET,PRO-000283
Bispham 132kV Substation,PEWO2,NGET,PRO-001291
Canterbury North 400kV Substation,CANT4,NGET,PRO-001290
Kilmarnock South GSP,KILS1,SPT,PRO-001454
Friston 400kV Substation,FRIS4,NGET,PRO-000983
Pembroke GSP,PEMB4,NGET,PRO-004262
Bodelwyddan 400kV Substation,BODE4,NGET,PRO-000978
Blyth GSP,BLYT4,NGET,PRO-000975
Leiston 400kV Substation,LEIS4,NGET,PRO-000982
Richborough 400kV Substation,RICH4,NGET,PRO-000974
Grain West 400kV Substation,GRAW4,NGET,PRO-001288
Peterhead GSP,PEHE4,SHET,PRO-001285
Mablethorpe 400kV Substation,MABL4,NGET,PRO-000981
Grain 400kV Substation,GRAI4,NGET,PRO-000976
East Anglia Connection Node 400kV Substation,EACN4,NGET,PRO-001289
Creyke Beck 400kV Substation,CREB4,NGET,PRO-001284
Bicker Fen 400kV Substation,BICF4,NGET,PRO-000288
