Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
[23-0225] UPPER GREENFIELDS - 175MW BESS,Lower 48 Energy BESS Limited,New Deer 2 400kV Substation,,0,175,175,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000ewjH,PRO-003682
012 NEP Coventry West,NEW ENERGY PARTNERSHIP LIMITED,Berkswell GSP,,0,92.4,92.4,2034-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000000f3zX,PRO-003804
17 Acres and BESS,AEUK BATTERY PROJECT II LTD,Tealing 275/33kV Substation,,0,95.76,95.76,2032-06-30,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000012ezR,PRO-004392
A'Chruach Wind Farm,A'CHRUACH WIND FARM LIMITED,A'Chruach Wind Farm 275kV Substation,,43,0,43,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005itE,PRO-000005
Abedare,UK POWER RESERVE LIMITED,Upperboat 132kV Substation,,10,0,10,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iWR,PRO-000001
Aberarder Extension Wind Farm,Renewable Energy Systems Limited,Tomatin 275/132 kV Substation,,0,138,138,2031-04-30,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l8e0000010wQ0,PRO-002589
Aberarder Wind Farm,ABERARDER WIND FARM LLP,Aberarder Wind Farm 132/33kV Substation,,0,49.9,49.9,2025-08-30,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilH,PRO-000368
Aberdeen Offshore Wind Farm,ABERDEEN OFFSHORE WIND FARM LIMITED,Aberdeen Bay 132kV Substation,,95.5,0,95.5,,Built,Directly Connected,SHET,Wind Offshore,a0l4L0000005itB,PRO-000002
Aberthaw (Tertiary),ENSO GREEN HOLDINGS LIMITED,Aberthaw 275kV Substation,,0,57,57,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixj,PRO-000376
Aberthaw BESS,CSWE 7 LIMITED,Aberthaw 275kV Substation,,0,240,240,2037-10-15,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f65F,PRO-003954
Aberthaw Energy,ABERTHAW ENERGY LIMITED,Aberthaw 275kV Substation,,0,249,249,2028-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iet,PRO-001697
Aberthaw PV & BESS Generation,CYP SOLAR LIMITED,Aberthaw 275kV Substation,,0,200,200,2029-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikS,PRO-001815
Abhainn Dubh Wind Farm,E Power Limited,Abhainn Dubh Wind Farm 132kV Substation,,0,75,75,2029-05-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ivF,PRO-002272
Achany Extension Wind Farm,SSE GENERATION LIMITED,ACHANY EXTENSION WIND FARM 132/33KV Substation,,0,105,105,2027-04-01,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iiY,PRO-001555
Acharole Wind Farm,EDF ENERGY RENEWABLES LIMITED,Mybster 3 33kV Substation,,0,52.8,52.8,2027-06-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iYG,PRO-001928
Achrugan Wind Farm,Statkraft Windco 1 Limited,Achrugan 132kV Substation,,0,149,149,2029-07-31,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ivE,PRO-002267
Ackron Wind Farm,ACKRON WIND FARM LTD,Dounreay GSP,,0,49.9,49.9,2028-08-31,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iTj,PRO-001446
Afton Wind Farm,AFTON WIND FARM LIMITED,Afton 132kV/33kV Substation,,50,0,50,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipi,PRO-000558
AGS Calderside Battery Energy Storage System,Advance Grid Solutions Ltd,Calderside 275kV Substation,,0,300,300,2028-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000010wex,PRO-002752
Aigas (part of the Beauly Cascade),SSE GENERATION LIMITED,Aigas Hydro 132kV Substation,,20,0,20,,Built,Directly Connected,SHET,Hydro,a0l4L0000005itF,PRO-000006
Aikengall IIa Wind Farm,AIKENGALL IIA COMMUNITY WIND COMPANY LIMITED,Wester Dod 132kV,,81.2,0,81.2,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iph,PRO-000559
Aikengall II Windfarm,AIKENGALL II COMMUNITY WIND COMPANY LIMITED,Wester Dod 132kV,,63.8,0,63.8,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005itG,PRO-000007
Airies Wind Farm,AIRIES WINDFARM LIMITED,Newton Stewart 132/33kV Substation,,35,0,35,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWS,PRO-000008
Aitkenhead Farm BESS,BOOM DEVELOPMENTS LTD,Easterhouse 132kV,,0,300,300,2028-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000010wPW,PRO-002585
Al Boum Photo (Norton),AL BOUM PHOTO LTD,Norton 400kV Substation,,0,275,275,2031-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixr,PRO-001651
Alcemi Bathgate No 2,ALCEMI STORAGE DEVELOPMENTS 8 LTD,Bathgate 400kV Substation,,0,280,280,2030-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000f7gR,PRO-004011
Alcemi Bramford Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 1 LIMITED,Bramford 400kV Substation,,0,500,500,2030-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaq,PRO-001416
Alcemi Coalburn Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 4 LIMITED,Coalburn 400kV GIS Substation,,0,500,500,2025-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005id4,PRO-001459
Alcemi Devilla Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 3 LIMITED,Longannet 275kV Substation,,0,500,500,2027-10-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005icy,PRO-001453
Alcemi Midmill BESF,ALCEMI STORAGE DEVELOPMENTS 2 LIMITED,Kintore 275kV,,0,300,300,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iaA,PRO-002014
Alcemi  Ridham Docks BESF,Alcemi Storage Developments 23 Ltd,Kemsley 400kV Substation,,0,280,280,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPEF,PRO-003211
Alcemi Score 2 Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Peterhead GSP,,0,500,500,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005ikE,PRO-001790
Alcemi Score Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Alcemi Score Battery 400kV Substation,,0,500,500,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005izQ,PRO-001575
Alderton PV & BESS Station,BNRG ALBION LIMITED,East Claydon 400kV Substation,,0,450,450,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wg5,PRO-002764
Almondell Lodge BESS & Solar Development,SIRIUS ECODEV (BROXBURN) LTD,Broxburn GSP,,0,50,50,2024-04-30,Consents Approved,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iTt,PRO-001667
Alverdiscott,PIVOTED POWER LLP,Alverdiscott 400kV Substation,1,0,49.9,49.9,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieS,PRO-001136-1
Alverdiscott,PIVOTED POWER LLP,Alverdiscott 400kV Substation,2,0,50.1,100,2036-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieS,PRO-001136-2
Alverdiscott,XLINKS 1 LTD,Alverdiscott 400kV Substation,,0,1800,1800,2027-11-01,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iwa,PRO-001344
Alverdiscott 2,XLINKS 1 LTD,Alverdiscott 400kV Substation,,0,1800,1800,2030-11-01,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iwb,PRO-001345
Alverdiscott Farm,Alverdiscott 10 Renewables LTD,Alverdiscott 400kV Substation,,0,1000,1000,2037-04-24,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQZt,PRO-002554
Alyth,ECODEV (ALYTH) LTD,Alyth Solar and Battery 400/132kV,1,0,450,450,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZL,PRO-001978-1
Alyth,ECODEV (ALYTH) LTD,Alyth Solar and Battery 400/132kV,2,0,450,900,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZL,PRO-001978-2
Alyth BESS Station,IGP INTERNATIONAL PROSPECTING LIMITED,Alyth 400kV Substation,,0,500,500,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005j14,PRO-002466
Amersham BESS & Substation,O&G Solar (SPV 31) Limited,Penn 132kV Substation,,0,249.9,249.9,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyB,PRO-002354
Amersham Main,ORRÖN ENERGY DEVELOPMENT LIMITED,Amersham Main 400kV Substation,,0,1000,1000,2038-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPQW,PRO-003404
AMP Eccles BESS,Eccles Grid Stability Limited,Eccles 132kV Substation,,0,49.9,49.9,2029-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000f4Am,PRO-003836
Andershaw Wind Farm,ANDERSHAW WIND POWER LIMITED,Linmill 132/33kV Substation,,35,0,35,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWT,PRO-000010
An Suidhe Wind Farm - Argyll (SRO),AN SUIDHE WIND FARM LIMITED,Eredine GSP,,19.3,0,19.3,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005itH,PRO-000009
Apley Head Farm,Queequeg renewables Ltd,West Burton 400kV Substation,,0,240,240,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f6Ed,PRO-003968
Arbroath Battery Substation,ARBROATH LIMITED,Arbroath GSP,,0,35,35,2022-02-21,Consents Approved,Embedded,SHET,Energy Storage System,a0l4L0000005iSw,PRO-000950
Ardkinglas,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Ardkinglas GSP,,19.25,0,19.25,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iWV,PRO-000013
Ardleigh Solar & BESS,Nembus BESS Limited,Hadleigh 400kV Substation,,0,600,600,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wVF,PRO-002644
Ardoch Farm Battery Storage,EKU ENERGY FAUNE PROJECTS (UK) LIMITED,Kilmorack GSP,,0,27,27,2026-04-30,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iUV,PRO-002431
Arecleoch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,1,114,0,114,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005itI,PRO-000012-1
Arecleoch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,2,0,216,330,2032-06-15,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005itI,PRO-000012-2
Arecleoch Windfarm Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,,0,72.8,72.8,2025-08-01,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ixH,PRO-001111
Arkwright,ARLINGTON (GROUP SERVICES) LIMITED,Chesterfield GSP,,0,57,57,2035-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPIb,PRO-003248
Armadale Wind Farm,WIND DEVELOPMENT HOLDINGS LIMITED,Armadale 132/33kV Substation,,0,99,99,2027-08-01,Awaiting Consents,Directly Connected,SHET,Wind Onshore,a0l4L0000005ipj,PRO-000557
Arresgill Energy Storage 1,Arresgill Energy Storage 1 Limited,Arresgill 132kV Substation,,0,49,49,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPIR,PRO-003246
Arresgill Wind Farm,ARRESGILL ENERGY LIMITED,Arresgill 132kV Substation,,0,150,150,2031-10-31,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikZ,PRO-002409
Artfield Forest Windfarm,ARTFIELD FOREST WIND FARM LTD,Newton Stewart GSP,,0,67.2,67.2,2026-05-01,Scoping,Embedded,SPT,Wind Onshore,a0l4L0000005iRE,PRO-001310
Artfield Forest Wind Farm,ARTFIELD FOREST WIND FARM LTD,Artfield Forest Wind Farm 132kV Substation,,0,85.8,85.8,2030-06-28,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e0000011zPN,PRO-003578
ARVEN OFFSHORE WIND FARM,ARVEN OFFSHORE WIND FARM LIMITED,ARVEN 400/66KV OFFSHORE SUBSTATION,,0,1800,1800,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l8e000000TPOF,PRO-003288
Ashbrook Lane BESS,Downing Renewable Developments LLP,Wymondley GSP,,0,249.9,249.9,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000011yd6,PRO-003534
Assel Valley Extension Wind Farm,RENANTIS UK LIMITED,Mark Hill Substation 132kV,,0,88,88,2030-10-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e0000010wU7,PRO-002632
Assel Valley Wind Farm,ASSEL VALLEY WIND ENERGY LIMITED,Maybole 132/33KV Substation,,29.95,0,29.95,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWW,PRO-000014
Auchentiber Farm,GPC 700 Ltd,Auchentiber Farm BESS 400kV Substation,,0,700,700,2029-10-17,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011zs9,PRO-003601
Auchrobert Wind Farm,AUCHROBERT WIND ENERGY LIMITED,Linmill 132/33kV Substation,,36,0,36,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iUp,PRO-000016
Aultmore Wind Farm (2023),VATTENFALL WIND POWER LTD,Aultmore Wind Farm 132/33kV Substation,,0,105,105,2030-09-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l8e000000f6Jj,PRO-003975
Aurora Offshore Windfarm,AURORA FLOATING OFFSHORE WIND LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ij0,PRO-001774
Awel Y Mor Extension,AWEL Y MOR OFFSHORE WIND FARM LIMITED,Bodelwyddan 400kV Substation,1,0,574,574,2027-04-01,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ipB,PRO-000529-1
Awel Y Mor Extension,AWEL Y MOR OFFSHORE WIND FARM LIMITED,Bodelwyddan 400kV Substation,2,0,526,1100,2028-04-01,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ipB,PRO-000529-2
Axminster,CSE25 LIMITED,Axminster 400kV Substation,,0,150,150,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixi,PRO-001740
Axminster,HB825AXM LTD,Axminster 400kV Substation,,0,120,120,2024-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixv,PRO-001017
Axminster,PIVOTED POWER LLP,Axminster 400kV Substation,,0,49.9,49.9,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iuf,PRO-001143
Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,1,0,49.9,49.9,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw,PRO-001356-1
Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,2,0,49.9,99.8,2026-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw,PRO-001356-2
Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,3,0,20.2,120,2026-12-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw,PRO-001356-3
Ayre (ex Cluaran Ear - Thuath) Offshore Wind Farm,AYRE OFFSHORE WIND FARM LIMITED,Dounreay 400kV,,0,1008,1008,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005ix0,PRO-002100
Ayr Energy Storage,Cragside Energy Limited,Ayr 275/33 kV Substation,,0,150,150,2027-04-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000f3zI,PRO-003801
Ayr Farm,NEW ENERGY PARTNERSHIP LIMITED,Ayr 275/33 kV Substation,,0,300,300,2030-08-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011zmY,PRO-003596
Ayrshire Grid Services Facility,FLEXIBLEGRIDPOWER LTD,Hunterston East 400kV substation,,0,0,0,2024-03-29,Scoping,Directly Connected,SPT,Reactive Compensation,a0l4L0000005ibc,PRO-001090
