Connection Site,etys_sub_map,HOST TO,Project ID,Project No
Aberarder Wind Farm 132/33kV Substation,ABED1,SHET,a0l4L0000005ilH,PRO-000368
Aberdeen Bay 132kV Substation,ABBA1,SHET,a0l4L0000005itB,PRO-000002
Abernethy GSP,ABNE3,SHET,a0l4L0000005iOj,PRO-001237
Abernethy GSP,ABNE3,SHET,a0l4L0000005iOk,PRO-001236
Aberthaw 132kV Substation,ABTH1,NGET,a0l8e000000f4xg,PRO-003899
Aberthaw 275kV Substation,ABTH2,NGET,a0l4L0000005ixj,PRO-000376
Aberthaw 275kV Substation,ABTH2,NGET,a0l8e000000f65F,PRO-003954
Aberthaw 275kV Substation,ABTH2,NGET,a0l4L0000005iet,PRO-001697
Aberthaw 275kV Substation,ABTH2,NGET,a0l4L0000005ikS,PRO-001815
Aberthaw 275kV Substation,ABTH2,NGET,a0l4L0000005ikY,PRO-001775
Abhainn Dubh Wind Farm 132kV Substation,0,SHET,a0l4L0000005ivF,PRO-002272
Abham GSP,ABHA1,NGET,a0l4L0000005iUs,PRO-000024
ACHANY EXTENSION WIND FARM 132/33KV Substation,ACHN1,SHET,a0l4L0000005iiY,PRO-001555
A'Chruach Wind Farm 275kV Substation,ACHR2,SHET,a0l4L0000005itE,PRO-000005
Achrugan 132kV Substation,0,SHET,a0l4L0000005ivE,PRO-002267
Afton 132kV/33kV Substation,0,SPT,a0l4L0000005ipi,PRO-000558
Aigas Hydro 132kV Substation,0,SHET,a0l4L0000005itF,PRO-000006
Alcemi Score Battery 400kV Substation,0,SHET,a0l4L0000005izQ,PRO-001575
Alness 132/33kV Substation,0,SHET,a0l4L0000005iWt,PRO-002397
Alness GSP,0,SHET,a0l4L0000005iUw,PRO-000030
Alness GSP,0,SHET,a0l4L0000005iVF,PRO-000099
Alness GSP,0,SHET,a0l8e000001HxmM,PRO-004300
Alness GSP,0,SHET,a0l4L0000005iUP,PRO-001812
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ieS,PRO-001136-1
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ieS,PRO-001136-2
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iwa,PRO-001344
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iwb,PRO-001345
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L000002yQZt,PRO-002554
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ij0,PRO-001774
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ia5,PRO-002007
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ihk,PRO-001760
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000010wb0,PRO-002707
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iip,PRO-001763-1
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iip,PRO-001763-2
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iur,PRO-002219
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iyQ,PRO-002390
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000011yr5,PRO-003548
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iuo,PRO-002239
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e000000f8QC,PRO-004037
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e000000f8QH,PRO-004038
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000010wdV,PRO-002734
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iiy,PRO-001772
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005j1N,PRO-002480
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ivO,PRO-002391
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iZb,PRO-001997
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ihV,PRO-001728
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005ixt,PRO-001787
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e000000TP6Q,PRO-003100
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e000000TP6V,PRO-003101
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000010wWD,PRO-002654
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e000000TP9e,PRO-003162
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iM5,PRO-002404
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005j1U,PRO-001661
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000011xxK,PRO-003484
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iyP,PRO-002405
Alverdiscott 400kV Substation,ALVE4,NGET,a0l8e0000010wj4,PRO-002795
Alverdiscott 400kV Substation,ALVE4,NGET,a0l4L0000005iy6,PRO-001917
Alyth 400kV Substation,0,SHET,a0l4L0000005j14,PRO-002466
Alyth Solar and Battery 400/132kV,0,SHET,a0l4L0000005iZL,PRO-001978-1
Alyth Solar and Battery 400/132kV,0,SHET,a0l4L0000005iZL,PRO-001978-2
Amersham GSP (EPN),AMEM1,NGET,a0l8e0000010wOY,PRO-002573
Amersham Main 132kV Substation,AMEM1,NGET,a0l4L0000005iXc,PRO-002103
Amersham Main 132kV Substation,AMEM1,NGET,a0l4L0000005iXd,PRO-002104
Amersham Main 400kV Substation,AMEM4,NGET,a0l8e000000TPQW,PRO-003404
An Suidhe 275/33kV,0,SHET,a0l4L0000005ia2,PRO-002005
Arbroath GSP,0,SHET,a0l4L0000005iSw,PRO-000950
Ardkinglas GSP,0,SHET,a0l4L0000005iWV,PRO-000013
Arecleoch 132kV Substation,0,SPT,a0l4L0000005itI,PRO-000012-1
Arecleoch 132kV Substation,0,SPT,a0l4L0000005itI,PRO-000012-2
Arecleoch 132kV Substation,0,SPT,a0l4L0000005ixH,PRO-001111
Armadale 132/33kV Substation,0,SHET,a0l4L0000005ipj,PRO-000557
Arresgill 132kV Substation,0,SPT,a0l8e000000TPIR,PRO-003246
Arresgill 132kV Substation,0,SPT,a0l4L0000005ikZ,PRO-002409
Artfield Forest Wind Farm 132kV Substation,0,SPT,a0l8e0000011zPN,PRO-003578
ARVEN 400/66KV OFFSHORE SUBSTATION,0,SHET,a0l8e000000TPOF,PRO-003288
Auchentiber Farm BESS 400kV Substation,0,SPT,a0l8e0000011zs9,PRO-003601
Aultmore Wind Farm 132/33kV Substation,0,SHET,a0l8e000000f6Jj,PRO-003975
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixi,PRO-001740
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixv,PRO-001017
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005iuf,PRO-001143
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-1
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-2
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-3
Ayr 275/33 kV Substation,0,SPT,a0l8e000000f3zI,PRO-003801
