,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,Year,Status,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
0,ALYT2A,ALYT2B,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,40,39,275,275
1,ALYT2A,FETT2P,67.35,0.0,OHL,0.3046,2.7955,18.318,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,40,801,275,275
2,ALYT2A,KINB2J,69.98,0.0,OHL,0.3165,2.9046,19.034,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,40,1224,275,275
3,ALYT2A,TEAL2J,16.2,0.0,OHL,0.0733,0.6724,4.406,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,40,1968,275,275
4,ALYT2B,FETT2Q,67.35,0.0,OHL,0.3046,2.7955,18.318,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,39,803,275,275
5,ALYT2B,KINB2K,69.98,0.0,OHL,0.3165,2.9046,19.034,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,39,1223,275,275
6,ALYT2B,TEAL2K,16.2,0.0,OHL,0.0733,0.6724,4.406,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Addition,39,1963,275,275
7,ANSU1-,PORA1Q,24.27,0.0,OHL,0.3883,4.5385,1.481,739.0,710.0,662.0,710.0,shet_circuit_changes,2023.0,Removed,51,1662,132,132
8,ANSU1-,PORA1R,24.27,0.0,OHL,0.3883,4.5385,1.481,739.0,710.0,662.0,710.0,shet_circuit_changes,2023.0,Addition,51,1664,132,132
9,BLHI2L,ROTI2J,35.36,0.0,OHL,0.1768,1.5558,9.335,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,164,1726,275,275
10,BLHI2M,ROTI2K,35.36,0.0,OHL,0.1768,1.5558,9.335,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,169,1723,275,275
11,BLHI4-,ROTI4J,35.4,0.0,OHL,0.0708,0.6832,20.826,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,167,1724,400,400
12,BLHI4-,ROTI4K,35.4,0.0,OHL,0.0708,0.6832,20.826,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,167,1722,400,400
13,BROR1Q,LOCB1K,22.113,0.007,Composite,2.2511,5.1536,1.096,126.0,117.0,101.0,117.0,shet_circuit_changes,2023.0,change,278,1339,132,132
14,CLSO1-,DORE12,0.0,0.1,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,380,584,132,132
15,CRSS1Q,PORA1R,44.7,0.0,OHL,0.7152,7.9119,2.905,739.0,710.0,662.0,710.0,shet_circuit_changes,2023.0,Change,501,1664,132,132
16,CRSS1R,PORA1S,44.7,0.0,OHL,0.7152,7.9119,2.905,739.0,710.0,662.0,710.0,shet_circuit_changes,2023.0,Change,504,1665,132,132
17,FETT2P,KINT2K,32.15,0.0,OHL,0.1624,1.4035,8.454,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Change,801,1241,275,275
18,FETT2P,TEAL2K,83.55,0.0,OHL,0.4226,3.6513,21.994,955.0,880.0,760.0,880.0,shet_circuit_changes,2023.0,Removed,801,1963,275,275
19,FETT2Q,KINB2J,137.33,0.0,OHL,0.6853,5.8914,35.895,955.0,885.0,760.0,885.0,shet_circuit_changes,2023.0,Removed,803,1224,275,275
20,FETT2Q,KINT2K,32.15,0.0,OHL,0.1624,1.4035,8.454,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Change,803,1241,275,275
21,FOFO2-,TEAL2K,0.0,1.0,Cable,0.01,0.1,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Change,818,1963,275,275
22,GARB1R,SLOY1J,14.185,0.715,Composite,0.7599,3.3376,0.775,241.0,230.0,210.0,230.0,shet_circuit_changes,2023.0,Change,877,1815,132,132
23,GARB1T,SLOY1K,14.185,0.715,Composite,0.7599,3.3376,0.775,241.0,230.0,210.0,230.0,shet_circuit_changes,2023.0,Change,880,1822,132,132
24,GLRB2-,TEAL2K,38.8,0.0,OHL,0.19,1.67,10.2,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Change,930,1963,275,275
25,INGA1Q,LOCL1Q,2.4,0.0,OHL,0.1224,0.5376,0.125,203.0,193.0,176.0,193.0,shet_circuit_changes,2023.0,Change,1095,1347,132,132
26,KINB2K,TEAL2J,86.18,0.0,OHL,0.4329,3.735,23,955.0,880.0,760.0,880.0,shet_circuit_changes,2023.0,Removed,1223,1968,275,275
27,KINT2J,ROTI2J,23.24,0.0,OHL,0.093,1.0226,6.135,1380.0,1320.0,1230.0,1320.0,shet_circuit_changes,2023.0,Removed,1239,1726,275,275
28,KINT2J,TEAL2A,100.6,0.0,OHL,0.61,5.36,22.142,695.0,640.0,550.0,640.0,shet_circuit_changes,2023.0,Addition,1239,1965,275,275
29,KINT2J,TEAL2J,100.6,0.0,OHL,0.61,5.36,22.142,695.0,695.0,695.0,695.0,shet_circuit_changes,2023.0,Removed,1239,1968,275,275
30,KINT2K,ROTI2K,23.24,0.0,OHL,0.093,1.0226,6.135,1380.0,1320.0,1230.0,1320.0,shet_circuit_changes,2023.0,Removed,1241,1723,275,275
31,KINT2K,TEAL2B,100.6,0.0,OHL,0.61,5.36,22.142,695.0,640.0,550.0,640.0,shet_circuit_changes,2023.0,Addition,1241,1962,275,275
32,KINT2K,TEAL2K,100.6,0.0,OHL,0.61,5.36,22.142,695.0,695.0,695.0,695.0,shet_circuit_changes,2023.0,Removed,1241,1963,275,275
33,KINT4J,KINT4K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,1242,1235,400,400
34,KINT4J,ROTI4J,23.2,0.0,OHL,0.0464,0.4478,13.649,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1242,1724,400,400
35,KINT4K,ROTI4K,23.2,0.0,OHL,0.0464,0.4478,13.649,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1235,1722,400,400
36,MORF2-,NEDE2K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Removed,1455,1517,275,275
37,MORF4-,NEDE4K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,1456,1515,400,400
38,NEDE2J,NEDE2K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Removed,1516,1517,275,275
39,NEDE2J,PEHERSV1,30.04,0.0,OHL,0.1502,1.3215,7.929,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,1516,2275,275,
40,NEDE2J,ROTI2J,17.32,0.0,OHL,0.0866,0.7623,4.574,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,1516,1726,275,275
41,NEDE2K,PEHE2Q,30.04,0.0,OHL,0.1502,1.3215,7.929,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,1517,1639,275,275
42,NEDE2K,ROTI2K,17.32,0.0,OHL,0.0866,0.7623,4.574,1090.0,1030.0,925.0,1030.0,shet_circuit_changes,2023.0,Removed,1517,1723,275,275
43,NEDE4J,NEDE4K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,1518,1515,400,400
44,NEDE4J,PEHE4J,30.04,0.0,OHL,0.0601,0.5799,17.6738,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1518,1641,400,400
45,NEDE4J,ROTI4J,17.3,0.0,OHL,0.0346,0.3339,10.178,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1518,1724,400,400
46,NEDE4K,PEHE4K,30.04,0.0,OHL,0.0601,0.5799,17.6738,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1515,1646,400,400
47,NEDE4K,ROTI4K,17.3,0.0,OHL,0.0346,0.3339,10.178,2000.0,1920.0,1790.0,1920.0,shet_circuit_changes,2023.0,Addition,1515,1722,400,400
48,PEHE4J,PEHE4K,0.0,1.0,Cable,0.01,0.01,0,9999.0,9999.0,9999.0,9999.0,shet_circuit_changes,2023.0,Addition,1641,1646,400,400
49,PORA1Q,PORA1U,5.6,0.0,OHL,0.778,1.25,0.274,99.0,92.0,79.0,92.0,shet_circuit_changes,2023.0,Removed,1662,1660,132,132
