,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,OFTO,Station,Voltage (kV),Year,Status,Wind Farm,Interconnection Type,Rated DC Voltage (kV),Rated AC Voltage (kV)
0,ABBA1-,DYCE1J,0.0,7.8,Cable,0.1092,1.2324,10.14,173,158.0,158.0,158.0,shet_circuits,,,,,,,,,
1,ABNE1Q,ABNE1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
2,ABNE1Q,CHAR1-,24.5,0.0,OHL,2.49,5.66,1.22,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
3,ABNE1R,AMUL1G,28.099,0.001,Composite,2.8706,6.5818,1.397,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
4,ALNE1Q,FYRI1J,0.0,2.1,Cable,0.06,0.202,2.547,156,142.0,142.0,142.0,shet_circuits,,,,,,,,,
5,ALNE1R,FYRI1K,0.0,2.1,Cable,0.06,0.202,2.547,156,142.0,142.0,142.0,shet_circuits,,,,,,,,,
6,AMUL1E,AMUL1F,0.0,8.62,Cable,0.2518,0.8041,10.215,153,129.0,129.0,129.0,shet_circuits,,,,,,,,,
7,AMUL1E,BUMU1R,17.8,0.0,OHL,1.8184,4.1692,0.885,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
8,AMUL1F,GRIF1S,6.85,0.0,OHL,0.7002,1.6054,0.341,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
9,AMUL1G,AMUL1H,0.0,8.62,Cable,0.2518,0.8041,10.215,153,129.0,129.0,129.0,shet_circuits,,,,,,,,,
10,AMUL1H,GRIF1T,6.85,0.0,OHL,0.7002,1.6054,0.341,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
11,ARBR1Q,DENS1Q,14.5,0.0,OHL,1.3195,3.364,0.725,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
12,ARBR1R,DENS1R,14.5,0.0,OHL,1.3195,3.364,0.725,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
13,ARDK1-,INVE1J,9.0,0.0,OHL,0.92,2.1,0.44,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
14,ARDK1-,SLOY1T,10.0,0.0,OHL,1.02,2.33,0.49,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
15,BEAT4-,BLHI4-,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
16,BEAU1J,BEAU1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
17,BEAU1J,BEAU1R,0.0,2.4,Cable,0.0315,0.197,3.941,265,263.0,263.0,263.0,shet_circuits,,,,,,,,,
18,BEAU1J,BEAU1T,0.0,0.22,Cable,0.01,0.0147,0.268,141,136.0,136.0,136.0,shet_circuits,,,,,,,,,
19,BEAU1J,DUCC1J,0.0,3.1,Cable,0.0219,0.1198,10.47,444,403.0,403.0,403.0,shet_circuits,,,,,,,,,
20,BEAU1K,BEAU1N,0.0,0.25,Cable,0.01,0.0167,0.305,141,136.0,136.0,136.0,shet_circuits,,,,,,,,,
21,BEAU1K,BEAU1S,0.0,2.4,Cable,0.0315,0.197,3.941,265,263.0,263.0,263.0,shet_circuits,,,,,,,,,
22,BEAU1K,DUCC1K,0.0,3.1,Cable,0.0219,0.1198,10.47,444,403.0,403.0,403.0,shet_circuits,,,,,,,,,
23,BEAU1L,BEAU1P,0.0,1.74,Cable,0.0634,0.1599,2.062,152,140.0,140.0,140.0,shet_circuits,,,,,,,,,
24,BEAU1L,MOTA1R,29.67,0.0,OHL,3.0145,6.9027,1.469,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
25,BEAU1M,BEAU1Q,0.0,1.74,Cable,0.0634,0.1599,2.062,152,140.0,140.0,140.0,shet_circuits,,,,,,,,,
26,BEAU1M,MOTA1Q,29.67,0.0,OHL,3.0145,6.9027,1.469,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
27,BEAU1N,KNOC1J,17.1,0.0,OHL,1.5561,3.9843,0.855,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
28,BEAU1R,INNE1Q,13.4,0.0,OHL,0.6834,3.0016,0.697,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
29,BEAU1S,INNE1R,13.4,0.0,OHL,0.6834,3.0016,0.697,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
30,BEAU1T,KNOC1J,17.1,0.0,OHL,1.5561,3.9843,0.855,132,123.0,106.0,123.0,shet_circuits,,,,,,,,,
31,BEAU2J,BEAU2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
32,BEAU2J,FASN2-,24.288,1.012,Composite,0.069,1.025,7.23,1910,1830.0,1710.0,1830.0,shet_circuits,,,,,,,,,
33,BEAU2J,FYRI2J,30.5,0.0,OHL,0.183,1.6772,6.465,702,665.0,599.0,665.0,shet_circuits,,,,,,,,,
34,BEAU2J,KNOC2L,16.8,0.0,OHL,0.099,0.687,4.672,935,880.0,790.0,880.0,shet_circuits,,,,,,,,,
35,BEAU2K,FYRI2K,30.5,0.0,OHL,0.183,1.6772,6.465,702,665.0,599.0,665.0,shet_circuits,,,,,,,,,
36,BEAU2K,KNOC2M,16.8,0.0,OHL,0.099,0.687,4.672,935,880.0,790.0,880.0,shet_circuits,,,,,,,,,
37,BEAU4-,FAUG4J,48.6,0.0,OHL,0.063,0.931,29.386,2780,2670.0,2490.0,2670.0,shet_circuits,,,,,,,,,
38,BEIN11,CEAN1Q,0.87,0.0,OHL,0.099,0.205,0.042,254,247.0,237.0,247.0,shet_circuits,,,,,,,,,
39,BEIN11,MILW1S,2.8,0.0,OHL,0.319,0.66,0.135,254,247.0,237.0,247.0,shet_circuits,,,,,,,,,
40,BHLA11,GLEN1Q,0.0,7.8,Cable,0.1425,0.6104,28.363,230,217.0,217.0,217.0,shet_circuits,,,,,,,,,
41,BIHI1Q,CHAR1R,3.9,0.0,OHL,0.17,0.851,0.206,229,211.0,183.0,211.0,shet_circuits,,,,,,,,,
42,BIHI1Q,COUA1Q,14.6,0.0,OHL,0.7446,3.2704,0.753,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
43,BIHI1Q,TEAL1-,5.6,0.0,OHL,0.239,1.199,0.29,229,211.0,183.0,211.0,shet_circuits,,,,,,,,,
44,BIHI1R,CHAR1-,3.9,0.0,OHL,0.17,0.851,0.206,229,211.0,183.0,211.0,shet_circuits,,,,,,,,,
45,BIHI1R,COUA1R,14.6,0.0,OHL,0.7446,3.2704,0.753,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
46,BIHI1R,TEAL1-,5.6,0.0,OHL,0.239,1.199,0.29,229,211.0,183.0,211.0,shet_circuits,,,,,,,,,
47,BLHI1J,BLHI1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
48,BLHI1J,DORE11,23.45,0.0,OHL,1.171,5.295,1.286,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
49,BLHI1J,KEIT1K,0.0,3.26,Cable,0.0429,0.2582,4.733,176,176.0,176.0,176.0,shet_circuits,,,,,,,,,
50,BLHI1K,DORE12,23.45,0.0,OHL,1.171,5.297,1.318,241,230.0,210.0,230.0,shet_circuits,,,,,,,,,
51,BLHI1K,KEIT1J,0.0,3.26,Cable,0.0429,0.2582,4.733,176,176.0,176.0,176.0,shet_circuits,,,,,,,,,
52,BLHI2J,BLHI2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999.0,9999.0,9999.0,shet_circuits,,,,,,,,,
53,BLHI2J,KEIT2Q,0.0,2.41,Cable,0.01,0.044,13.793,580,546.0,546.0,546.0,shet_circuits,,,,,,,,,
54,BLHI2J,KINT2K,50.85,0.0,OHL,0.298,2.08,14.14,935,880.0,790.0,880.0,shet_circuits,,,,,,,,,
55,BLHI2K,CAIN2-,9.77,0.0,OHL,0.0573,0.3997,2.717,935,880.0,790.0,880.0,shet_circuits,,,,,,,,,
56,BLHI2K,KEIT2R,0.0,2.49,Cable,0.01,0.0456,14.286,580,546.0,546.0,546.0,shet_circuits,,,,,,,,,
57,BLHI4-,BLHI4R,0.0,1.0,Cable,0.01,0.01,0.0,1272,1272.0,1272.0,1272.0,shet_circuits,,,,,,,,,
58,BOAG1L,BOAG1Q,0.0,5.7,Cable,0.0362,0.8819,7.98,227,209.0,209.0,209.0,shet_circuits,,,,,,,,,
59,BOAG1L,TOMT1L,19.19,0.0,OHL,2.1877,4.3562,0.96,215,211.0,203.0,211.0,shet_circuits,,,,,,,,,
60,BOAG1M,BOAG1R,0.0,5.7,Cable,0.0362,0.8819,7.98,227,209.0,209.0,209.0,shet_circuits,,,,,,,,,
61,BOAG1M,TOMT1M,19.19,0.0,OHL,2.1877,4.3562,0.96,215,211.0,203.0,211.0,shet_circuits,,,,,,,,,
