,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id
0,ABHA4A,198,201,206,210,214,220,229,239,nget,ABHAM 400kV,315
1,ABHA4B,342,346,352,358,366,377,391,415,nget,ABHAM 400kV,62
2,ABNE10,292,297,306,316,325,334,346,362,,,
3,ABTH20,71,73,76,78,80,82,91,96,nget,ABERTHAW 132kV,730
4,ALDW20,7,7,7,7,7,7,8,8,nget,ALDWARKE 33kV,831
5,ALNE1Q,22,27,33,44,54,65,76,85,,,
6,ALNE1R,207,220,224,228,232,237,241,247,,,
7,ALVE4A,-18,-19,-20,-20,-21,-21,-22,-23,nget,ALVERDISCOTT 400kV,248
8,ALVE4B,16,16,16,17,18,19,20,21,nget,ALVERDISCOTT 400kV,311
9,AMEM4A_EPN,23,55,72,75,78,80,83,85,nget,AMERSHAM MAIN 400kV,320
10,AMEM4A_SEP,13,13,13,13,14,15,15,16,nget,AMERSHAM MAIN 400kV,320
11,AMEM4B_EPN,208,241,246,248,253,259,270,281,nget,AMERSHAM MAIN 400kV,170
12,AMEM4B_SEP,108,141,142,140,145,150,154,159,nget,AMERSHAM MAIN 400kV,170
13,ARBR1Q,22,27,33,44,54,65,76,85,,,
14,ARBR1R,135,146,160,231,235,239,243,249,,,
15,ARDK10,35,35,35,35,35,35,35,35,,,
16,ARMO10,4,4,4,4,4,4,4,4,,,
17,AXMI40_SEP,11,11,41,42,42,42,43,44,nget,AXMINSTER 132kV,548
18,AXMI40_WPD,9,9,9,8,9,9,9,10,nget,AXMINSTER 132kV,548
19,AYR-2Q,177,180,186,194,205,215,226,236,,,
20,AYR-2R,61,62,62,62,63,64,64,65,,,
21,BAGA1Q,24,77,80,143,146,149,152,155,,,
22,BAGA1R,117,119,119,119,120,121,125,128,,,
23,BAIN10,2,2,2,2,2,2,2,2,,,
24,BARK20_EPN,74,74,76,77,80,82,85,88,nget,BARKING 132kV,726
25,BARK20_LPN,297,301,304,304,306,310,313,319,nget,BARKING 132kV,726
26,BEAU10,423,427,435,451,472,499,535,572,,,
27,BEDD20_LPN,595,615,637,663,691,728,769,823,nget,BEDDINGTON 132kV,732
28,BEDD20_SPN,12,13,14,16,14,16,19,21,nget,BEDDINGTON 132kV,732
29,BERB20,139,139,141,144,148,151,155,163,,,
30,BERW1Q,372,382,393,402,413,427,443,443,,,
31,BERW1R,117,119,119,119,120,121,125,128,,,
32,BESW20,27,27,29,30,31,33,34,35,nget,BERKSWELL 132kV,691
33,BICF4A,21,24,26,89,92,96,99,102,nget,BICKER FEN 132kV,705
34,BICF4B,8,8,8,8,8,8,36,36,nget,BICKER FEN 132kV,705
35,BIRK20,44,45,46,47,49,50,52,56,nget,BIRKENHEAD 132kV,727
36,BISW20,350,379,386,392,401,412,427,444,nget,BISHOPS WOOD 132kV,737
37,BLYT20,28,34,36,60,61,62,64,65,nget,BLYTH 66kV,800
38,BOAG1Q,0,0,0,0,0,0,0,0,,,
39,BOAG1R,135,146,160,231,235,239,243,249,,,
40,BOLN40,53,46,47,57,59,60,53,54,nget,BOLNEY 132kV,766
41,BONN10,131,133,136,138,140,144,149,156,,,
42,BOTW40,11,11,41,42,42,42,43,44,nget,BOTLEY WOOD 132kV,652
43,BRAI4A,33,33,33,34,34,35,36,36,nget,BRAINTREE 400kV,271
44,BRAI4B,-6,-6,-6,-6,-6,-6,-6,-6,nget,BRAINTREE 400kV,268
45,BRAP10,43,45,47,51,55,60,65,72,,,
46,BRAW20,57,59,61,65,69,75,80,86,nget,BRADFORD WEST 132kV,741
47,BRED20,24,28,33,39,44,49,54,60,nget,BREDBURY 132kV,740
48,BRFO40,97,99,102,105,108,111,115,121,nget,BRAMFORD 132kV,599
49,BRID1Q,32,32,33,33,33,35,36,38,,,
50,BRID1R,26,33,39,46,53,61,69,77,,,
51,BRIM2A_EPN,145,144,146,148,150,152,185,186,nget,BRIMSDOWN 275kV,460
52,BRIM2A_LPN,11,10,10,11,16,17,17,18,nget,BRIMSDOWN 275kV,460
53,BRIM2B_EPN,187,187,217,224,233,248,261,279,nget,BRIMSDOWN 275kV,432
54,BRIM2B_LPN,119,121,125,131,137,144,150,158,nget,BRIMSDOWN 275kV,432
55,BRIM2C_EPN,43,45,47,49,53,58,63,69,nget,BRIMSDOWN 275kV,358
56,BRIM2C_LPN,182,180,186,194,205,215,226,238,nget,BRIMSDOWN 275kV,358
