,Customer Name,Project Name,Connection Site,Stage,MW Import - Current,MW Export - Current,MW Import - Increase / Decrease,MW Export - Increase / Decrease,MW Import - Total,MW Export - Total,MW Effective From,Project Status,HOST TO,Project No,etys_sub_map,Plant Type,Ranking,Apportion,Generator Name,MW Effective - Import,MW Effective - Export,bus_name_guess,bus_id_guess,bus_name,bus_id,Gen_Type
1,AQUIND LIMITED,Aquind Interconnector,Lovedean 400kV Substation,,0,0,2000,2075,2000,2075,2027-06-30,Awaiting Consents,NGET,PRO-000285,LOVE4,Interconnector,0,1;0;-0.5,Aquind Interconnector (AQUIND LIMITED),2000,2075,LOVEDEAN,"[420, 421, 422]",LOVEDEAN,[422],Interconnector
4,BRITNED DEVELOPMENT LIMITED,Britned,Grain 400kV Substation,,1200,1200,0,0,1200,1200,2000-01-01,Built,NGET,PRO-000280,GRAI4,Interconnector,0,1;0;-0.5,Britned (BRITNED DEVELOPMENT LIMITED),1200,1200,GRAIN,"[259, 260]",GRAIN,[260],Interconnector
5,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Continental Link,Creyke Beck 400kV Substation,,0,0,1800,1800,1800,1800,2027-09-01,Scoping,NGET,PRO-000977,CREB4,Interconnector,0,1;0;-0.5,Continental Link (NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED),1800,1800,CREYKE BECK,"[167, 168, 169, 170, 171, 172, 173, 174]",CREYKE BECK,"[170, 172]",Interconnector
7,EIRGRID INTERCONNECTOR DESIGNATED ACTIVITY COMPANY,East West Interconnector,Deeside 400kV Substation,,505,585,0,0,505,585,2000-01-01,Built,NGET,PRO-000284,CONQ4,Interconnector,0,1;0;-0.5,East West Interconnector (EIRGRID INTERCONNECTOR DESIGNATED ACTIVITY COMPANY),505,585,,,CONNAHS QUAY,[155],Interconnector
8,ELECLINK LIMITED,ElecLink,Sellindge 400kV Substation,,1000,1050,0,0,1000,1050,2000-01-01,Built,NGET,PRO-000286,SELL4,Interconnector,0,1;0;-0.5,ElecLink (ELECLINK LIMITED),1000,1050,SELLINDGE,"[615, 616, 617, 618, 619, 620, 621, 622, 623]",SELLINDGE,"[618, 619, 620, 621, 622, 623]",Interconnector
9,FAB LINK LIMITED,FAB Link Interconnector,Exeter 400kV Substation,,0,0,1250,1310,1250,1310,2027-10-01,Awaiting Consents,NGET,PRO-000281,EXET4,Interconnector,0,1;0;-0.5,FAB Link Interconnector (FAB LINK LIMITED),1250,1310,EXETER MAIN,"[216, 217]",EXETER MAIN,[217],Interconnector
10,GREENLINK INTERCONNECTOR LIMITED,Greenlink,Pembroke 400kV Substation,,0,0,504,524,504,524,2024-06-01,Consents Approved,NGET,PRO-000279,PEMB4,Interconnector,0,1;0;-0.5,Greenlink (GREENLINK INTERCONNECTOR LIMITED),504,524,PEMBROKE,"[530, 531]",PEMBROKE,[530],Interconnector
12,NATIONAL GRID INTERCONNECTORS LIMITED,IFA Interconnector,Sellindge 400kV Substation,,1988,1988,0,0,1988,1988,2000-01-01,Built,NGET,PRO-000282,SELL4,Interconnector,0,1;0;-0.5,IFA Interconnector (NATIONAL GRID INTERCONNECTORS LIMITED),1988,1988,SELLINDGE,"[615, 616, 617, 618, 619, 620, 621, 622, 623]",SELLINDGE,"[618, 619, 620, 621, 622, 623]",Interconnector
13,NATIONAL GRID IFA 2 LIMITED,IFA2 Interconnector,Chilling 400kV Substation,,1100,1150,0,0,1100,1150,2000-01-01,Built,NGET,PRO-000283,CHIL4,Interconnector,0,1;0;-0.5,IFA2 Interconnector (NATIONAL GRID IFA 2 LIMITED),1100,1150,CHILLING,[145],CHILLING,[145],Interconnector
14,MANX UTILITIES,Isle of Man Interconnector,Bispham 132kV Substation,,74,74,0,0,74,74,2000-01-01,Built,NGET,PRO-001291,PEWO2,Interconnector,0,1;0;-0.5,Isle of Man Interconnector (MANX UTILITIES),74,74,,,PENWORTHAM,"[543, 544, 546, 547]",Interconnector
