,Name
0,LOAW12
1,IVER21
2,HUNE4-
3,BRIM2B
4,EDIN1D
5,NEDE4J
6,WISD11
7,BRAW4A
8,FOGG1Q
9,SFEM1Q
10,HUNN4A
11,SFEG1S
12,CHAR1T
13,MILL41
14,KYPE3-
15,OFOA1-
16,KERG1A
17,CRDY3A
18,COYW2T
19,FAWL41
20,HUNE41
21,BIHI1R
22,REDH3-
23,WLEX3C
24,INGA1J
25,MILH21
26,ABTH13
27,FAUG1Q
28,GREM1J
29,RICH11
30,LAGG1R
31,NEDE2K
32,MILP31
33,DUNH1T
34,TAYN3-
35,DUDO11
36,STWN3K
37,DUMF3I
38,TUMB1R
39,USKM11
40,PEHE4K
41,WHTL1S
42,BESW12
43,KAIM3A
44,Onshore 66 kV
45,DUNB1R
46,PORH11
47,TAYN1R
48,CCSS1-
49,MONQ3-
50,BASO41
51,FERO3-
52,WIOW1Q
53,KINB2J
54,TYNE51
55,BERW3-
56,DELL1-
57,KEAD44
58,TILB12
59,THOM2A
60,SGRW21
61,CRAI1-
62,BREC1Q
63,WISH1-
64,OFFE32
65,ELGI1R
66,CULJ4A
67,EARR23
68,CARR4B
69,WISD61
70,CRSS2Q
71,HUCR4-
72,GRMO2-
73,PELH11
74,CROO1Q
75,SHUR41
76,VIKE3M
77,REDH1-
78,FINN3-
79,BRED11
80,SFER1K
81,WALX21
82,WALX2B
83,GREG13
84,DBBW34
85,FETT42
86,LISD21
87,THUR61
88,RYEH4B
89,SLOY1E
90,EAAW63
91,HAGR3-
92,HINP21
93,FINL5-
94,LONO4B
95,FAUG4J
96,GLDO1G
97,WARL11
98,GRNA4C
99,ALST31
100,LOVE12
101,HACK41
102,CLYS3B
103,COUA1Q
104,GLLE1-
105,MONF2B
106,DRAK41
107,FERR61
108,Onshore 275kV-1
109,ARNI3-
110,NNGW22
111,KILB5-
112,MILH2A
113,IROA12
114,GLUE3C
115,INGA1Q
116,GREM1N
117,TELR1R
118,INRU1S
119,Onshore 330kV LV
120,SPRB3-
121,GLAP3-
122,SMEA4Q
123,NOKY3A
124,DUNB1T
125,NLEI3B
126,TEAL4J
127,PEHEMEC6
128,WILT2C
129,GALA3-
130,DEAN5-
131,RANN3Q
132,FERR22
133,MELG4J
134,WESE1-
135,HUTT43
136,LUMB1Q
137,BRIM2A
138,REDM1Q
139,KIOR5-
140,ELGI3-
141,STRW34
142,TWNE12
143,THOW12
144,KIBY11
145,OHLL1-
146,Offshore 66kV-4
147,WIMB11
148,WFIE2-
149,BOTW11
150,DINO41
151,SHIN3-
152,CHIL41
153,GLFA3-
154,FASI1A
155,SHRU2R
156,DOUN2C
157,TORN1-
158,WYLA41
159,EKIL3B
160,CASS1Q
161,WILL11
162,VGEWX1
163,HAWP21
164,LINS31
165,OHLL3-
166,KNOC2J
167,LUNA1Q
168,WYMO11
169,BLHI2B
170,PEHE11
171,HAMH1B
172,LEVE1R
173,BLYT22
174,MOSM4-
175,UPPB11
176,EALI21
