,key_0,Name,voltage,Site Code,Site Name,Voltage (kV),Region
0,BOLN,BOLN12,132.0,BOLN,BOLNEY,132.0,nget
1,BOLN,BOLN12,132.0,BOLN,BOLNEY,400.0,nget
2,MOTA,MOTA1Q,132.0,MOTA,MOULTAIVE,132,shet
3,DUCC,DUCC1K,132.0,DUCC,DUNMORE CABLE COMPOUND,132,shet
4,HAWP,HAWP21,275.0,HAWP,HAWTHORN PIT,66.0,nget
5,HAWP,HAWP21,275.0,HAWP,HAWTHORN PIT,275.0,nget
6,HAWP,HAWP21,275.0,HAWP,HAWTHORN PIT,400.0,nget
7,GART,GART4A,400.0,GART,GARFORTH TEE,400.0,nget
8,LACK,LACK2B,275.0,LACK,LACKENBY,66.0,nget
9,LACK,LACK2B,275.0,LACK,LACKENBY,275.0,nget
10,LACK,LACK2B,275.0,LACK,LACKENBY,400.0,nget
11,SJOW,SJOW13,132.0,SJOW,ST.JOHNS WOOD,132.0,nget
12,SJOW,SJOW13,132.0,SJOW,ST.JOHNS WOOD,275.0,nget
13,SJOW,SJOW13,132.0,SJOW,ST.JOHNS WOOD,400.0,nget
14,WATS,WATS12,132.0,WATS,WATFORD SOUTH,132.0,nget
15,WATS,WATS12,132.0,WATS,WATFORD SOUTH,275.0,nget
16,REDS,REDS4-,400.0,REDS,REDSHAW,400,spt_
17,REDS,REDS4-,400.0,REDS,REDSHAW,132,spt_
18,REDS,REDS4-,400.0,REDS,REDSHAW,33,spt_
19,PORA,PORA3-,33.0,PORA,PORT ANN,33,shet
20,PORA,PORA3-,33.0,PORA,PORT ANN,132,shet
21,PORA,PORA3-,33.0,PORA,PORT ANN,275,shet
22,WISD,WISD2A,275.0,WISD,WILLESDEN,66.0,nget
23,WISD,WISD2A,275.0,WISD,WILLESDEN,132.0,nget
24,WISD,WISD2A,275.0,WISD,WILLESDEN,275.0,nget
25,WISD,WISD2A,275.0,WISD,WILLESDEN,400.0,nget
26,BONN,BONN2A,275.0,BONN,BONNYBRIDGE,400,spt_
27,BONN,BONN2A,275.0,BONN,BONNYBRIDGE,275,spt_
28,BONN,BONN2A,275.0,BONN,BONNYBRIDGE,132,spt_
29,BONN,BONN2A,275.0,BONN,BONNYBRIDGE,33,spt_
30,KINA,KINA4A,400.0,KINA,KINARDOCHY,275,shet
31,KINA,KINA4A,400.0,KINA,KINARDOCHY,400,shet
32,CRAI,CRAI1R,132.0,CRAI,CRAIGIEBUCKLER,33,shet
33,CRAI,CRAI1R,132.0,CRAI,CRAIGIEBUCKLER,132,shet
34,BEAU,BEAU1K,132.0,BEAU,BEAULY,33,shet
35,BEAU,BEAU1K,132.0,BEAU,BEAULY,132,shet
36,BEAU,BEAU1K,132.0,BEAU,BEAULY,275,shet
37,BEAU,BEAU1K,132.0,BEAU,BEAULY,400,shet
38,HOWA,HOWA41,400.0,HOWA,HORNSEA ONE ONSHORE,400,ofto
39,HOWA,HOWA41,400.0,HOWA,HORNSEA ONE ONSHORE,220,ofto
40,WERO,WERO22,275.0,WERO,WESTERMOST ROUGH OFFSHORE,150,ofto
41,WERO,WERO22,275.0,WERO,WESTERMOST ROUGH ONSHORE,275,ofto
42,HELE,HELE1-,132.0,HELE,HELENSBURGH,132,spt_
43,HELE,HELE1-,132.0,HELE,HELENSBURGH,33,spt_
44,KNAR,KNAR21,275.0,KNAR,KNARESBOROUGH,132.0,nget
45,KNAR,KNAR21,275.0,KNAR,KNARESBOROUGH,275.0,nget
46,PEWO,PEWO2D,275.0,PEWO,PENWORTHAM,275.0,nget
47,PEWO,PEWO2D,275.0,PEWO,PENWORTHAM,400.0,nget
48,CLYN,CLYN3B,33.0,CLYN,CLYDE NORTH,275,spt_
49,CLYN,CLYN3B,33.0,CLYN,CLYDE NORTH,33,spt_
50,WTHU,WTHU4E,400.0,WTHU,WEST THURROCK,33.0,nget
51,WTHU,WTHU4E,400.0,WTHU,WEST THURROCK,400.0,nget
52,GLGL,GLGL1Q,132.0,GLGL,GLENGLASS,132,spt_
53,GLGL,GLGL1Q,132.0,GLGL,GLENGLASS,33,spt_
54,CRYR,CRYR1A,132.0,CRYR,CRYSTAL RIG,400,spt_
55,CRYR,CRYR1A,132.0,CRYR,CRYSTAL RIG,132,spt_
56,CRYR,CRYR1A,132.0,CRYR,CRYSTAL RIG,33,spt_
57,EACO,EACO41,400.0,EACO,EAST ANGLIA THREE ONSHORE,400,ofto
58,LHOR,LHOR4A,400.0,LHOR,LITTLE HORSTED,132.0,nget
59,LHOR,LHOR4A,400.0,LHOR,LITTLE HORSTED,400.0,nget
