,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
0,ABHA4A-EXET41,,6,217,48.785,0.025516039766321615,0.3224269755047658,11.409828799212011,0.0,2.9993346484401058,1.0,1,,True
1,ABHA4A-LAGA41,,6,391,26.121,0.02554266681980016,0.3079208299835382,11.952995637505982,0.0,3.1292384590077718,1.0,1,,True
2,ABHA4B-EXET41,,7,217,49.051,0.025540763694929764,0.32243990948196777,11.409643663229954,0.0,1.5992602456552634,1.0,1,,True
3,ABHA4B-LAGA41,,7,391,26.121,0.02554266681980016,0.3079208299835382,11.952995637505982,0.0,1.5992602456552634,1.0,1,,True
4,ABTH21-COWT2A,,1,163,13.318,0.028562377984682384,0.30941629749211597,11.876883728141314,0.0,1.6585698642174704,1.0,1,,True
5,ABTH21-PYLE21,,1,556,35.388,0.03887246382954675,0.31035997371990504,11.837881768614933,0.0,1.6585698642174704,1.0,1,,True
6,ABTH21-TREM21,,1,732,46.451,0.03690811285010011,0.34829080644119603,10.721400097790726,0.0,1.1295070720873406,1.0,1,,True
7,ABTH21-UPPB21,,1,745,26.996,0.03456854719217662,0.32008121573566456,11.41867904982103,0.0,1.599785109536345,1.0,1,,True
8,ABTH21-UPPB22,,1,743,27.582,0.03413571350881009,0.3179145366543397,20.265640339203518,0.0,1.2491760369739175,1.0,1,,True
9,ALDW21-BRIN21,,10,97,17.961,0.06071557819720506,0.3211778297422193,11.362647684412606,0.0,1.123208705514363,1.0,1,,True
10,ALDW21-WMEL21,,10,780,8.96,0.034520786830357135,0.3284116908482142,11.130981040620458,0.0,1.599785109536345,1.0,1,,True
11,ALVE4A-INDQ41,,15,331,97.176,0.03492220301308965,0.318877088993167,11.493575108042434,0.0,1.5992602456552634,1.0,1,,True
12,ALVE4A-TAUN41,,15,686,73.293,0.025541320453522164,0.32243188299019004,11.409654639429283,0.0,1.5992602456552634,1.0,1,,True
13,ALVE4B-INDQ41,,13,331,97.294,0.03491273870947849,0.3188850288815343,11.493437668627761,0.0,1.5992602456552634,1.0,1,,True
14,ALVE4B-TAUN42,,13,687,73.298,0.02553957816038637,0.3224317171000573,11.40963630273367,0.0,1.5992602456552634,1.0,1,,True
15,AMEM4A-ECLA41,,18,195,35.315,0.029086790315729857,0.31832365850205296,11.529663592964642,0.0,2.5201339250127166,1.0,1,,True
16,AMEM4A-IVER4A,,18,343,20.256,0.029067930489731438,0.31832543443917855,11.529619050801335,0.0,2.5201339250127166,1.0,1,,True
17,AMEM4B-ECLA41,,16,195,35.315,0.029086790315729857,0.31832365850205296,11.529663592964642,0.0,2.5490014384721977,1.0,1,,True
18,AMEM4B-IVER4B,,16,344,20.256,0.029067930489731438,0.31832543443917855,11.529619050801335,0.0,2.5490014384721977,1.0,1,,True
19,AXMI41-CHIC4A,,19,144,39.5,0.015351898734177217,0.26770632911392406,65.8890887647856,0.0,3.199963866983501,1.0,1,,True
20,AXMI41-EXET41,,19,217,36.184,0.017864249391996465,0.3057705063011276,12.047187761019496,0.0,3.199963866983501,1.0,1,,True
21,BAGB21-MAGA21,,21,426,14.017999999999999,0.02346759523469824,0.2813953488372093,51.19717424308855,0.0,2.1372457237637783,1.0,1,,True
22,BAGB21-SWAN21,,21,682,19.649,0.024054977352537022,0.2881978726652756,40.94988327280657,0.0,3.0043208553103797,1.0,1,,True
23,BARK21-REBR22,,24,572,10.879,0.028570525783619818,0.309409757330637,11.880070242429412,0.0,2.099455524325912,1.0,1,,True
24,BARK22-REBR21,,22,573,10.854,0.02856665745347338,0.3094256725631104,11.880288393509613,0.0,2.191831567396252,1.0,1,,True
25,BARK41-CHUE4A,,25,133,13.654,0.024959718763732236,0.3080708949758313,11.887810029958064,0.0,4.269505240657282,1.0,1,,True
26,BARK41-CHUE4B,,25,132,13.654,0.024959718763732236,0.3080708949758313,11.887810029958064,0.0,4.269505240657282,1.0,1,,True
27,BARK41-WHAM41,,25,798,9.786000000000001,0.025505824647455544,0.31310034743511134,21.25257626426621,0.0,2.46817240078565,1.0,1,,True
28,BARK41-WHAM41,,25,798,9.662,0.025667563651417924,0.31629062305940797,11.618912083072821,0.0,2.5201339250127166,1.0,1,,True
29,BARK41-WTHU4A,,25,783,15.872,0.02913306451612903,0.3183467741935484,11.529633505786155,0.0,2.5201339250127166,1.0,1,,True
30,BARK41-WTHU4B,,25,784,15.872,0.02913306451612903,0.3183467741935484,11.529633505786155,0.0,2.5201339250127166,1.0,1,,True
31,BEDD21-CHSI21,,29,136,18.122,0.028377110694183867,0.30734914744509434,18.51803627793315,0.0,1.599785109536345,1.0,1,,True
32,BEDD21-WIMB21,,29,834,9.468,0.032668594212082805,0.31270793726235746,52.01527648825899,0.0,1.307960791655043,1.0,1,,True
33,BEDD22-CHSI21,,30,136,17.973,0.02848613197574139,0.3083402882100929,15.03977119074967,0.0,1.3898395571037536,1.0,1,,True
34,BEDD23-WIMB2A,,31,833,9.082,0.03314110328121559,0.31817124532041396,39.279273460528366,0.0,1.5284036217092638,1.0,1,,True
35,BEDD4A-ROWD42,,33,585,10.1,0.011247524752475249,0.2046732673267327,239.99994193831776,0.0,1.5646192295038859,1.0,1,,True
36,BEDD4B-ROWD41,,28,583,10.1,0.01093069306930693,0.201980198019802,244.99992841782816,0.0,1.5646192295038859,1.0,1,,True
37,BESW21-COVE21,,41,160,18.668,0.034555455860295695,0.3200734545746733,11.418880365058,0.0,1.599785109536345,1.0,1,,True
38,BESW21-COVE21,,41,160,18.668,0.034555455860295695,0.3200734545746733,11.418880365058,0.0,1.599785109536345,1.0,1,,True
39,BESW21-FECK21,,41,220,35.814,0.030090362707321155,0.3187466842575529,11.507739159378065,0.0,1.599785109536345,1.0,1,,True
40,BESW21-OCKH21,,41,501,57.67,0.03039687012311427,0.3174492803884168,16.638508484598216,0.0,1.3394526245199319,1.0,1,,True
41,BICF41-SPLN41,,43,642,20.109,0.015197175394102142,0.28246058978566807,13.046249406687835,0.0,4.074649524805784,1.0,1,,True
42,BICF41-WALP41,,43,753,37.775,0.014189278623428194,0.27480608868299145,13.37149049514034,0.0,4.117950794995006,1.0,1,,True
43,BICF41-WBUR41,,43,775,65.55,0.014181540808543096,0.2748192219679634,13.371868111528135,0.0,4.288269124405946,1.0,1,,True
44,BICF41-WBUR42,,43,776,65.55,0.014181540808543096,0.2748192219679634,13.371868111528135,0.0,4.288269124405946,1.0,1,,True
45,BIRK21-CAPE21,,44,119,15.448,0.03441505372863801,0.334800216856551,10.912812323878217,0.0,1.599785109536345,1.0,1,,True
46,BIRK21-CAPE21,,44,119,15.448,0.03441505372863801,0.334800216856551,10.912812323878217,0.0,1.599785109536345,1.0,1,,True
47,BIRK21-LISD2A,,44,403,12.891,0.015898204173454347,0.1747042510278489,408.27846558447163,0.0,1.5514976324768488,1.0,1,,True
48,BISW21-FECK21,,46,220,22.83,0.03107150678931231,0.31909576215505914,11.486133133008279,0.0,1.599785109536345,1.0,1,,True
49,BISW21-KITW21,,46,375,27.111,0.029400888938069417,0.3134235181291727,11.713506813119647,0.0,1.599785109536345,1.0,1,,True
50,BISW21-KITW21,,46,375,24.226,0.02909374226038141,0.312913811607364,11.7353550279129,0.0,1.599785109536345,1.0,1,,True
51,BISW21-PENN21,,46,529,30.172,0.030904688121437093,0.31897247447964994,11.49204072471889,0.0,1.599785109536345,1.0,1,,True
52,BLYT21-STEW21,,51,665,26.779,0.041569886851637476,0.3929935770566489,9.425148952603974,0.0,1.1295070720873406,1.0,1,,True
53,BLYT21-STEW21,,51,665,26.711,0.04159077720789188,0.39297480438770543,9.42519139070625,0.0,1.1295070720873406,1.0,1,,True
54,BLYT21-TYNE21,,51,740,16.818,0.0333652931383042,0.321242121536449,11.422865367743231,0.0,2.5613357396776126,1.0,1,,True
55,BLYT41-MEDB4A,,54,432,26.756999999999998,0.02547370781477744,0.3073588219905072,13.396373786102865,0.0,2.7582909110534373,1.0,1,,True
56,BLYT41-MEDB4B,,54,431,27.125999999999998,0.025304136253041364,0.306362899063629,17.68762293575028,0.0,2.7582909110534373,1.0,1,,True
57,BODE41-PENM4A,,55,537,0.8,0.016,0.188,190.0011604998808,0.0,1.4145081595145832,1.0,1,,True
58,BODE41-PENM4B,,55,536,0.5,0.016,0.2784,13.066620827843748,0.0,3.622872939164902,1.0,1,,True
59,BOLN41-LOVE41,,56,418,64.774,0.0173649921264705,0.2782844968660265,13.11460663042823,0.0,3.990933735773288,1.0,1,,True
60,BOLN41-LOVE41,,56,418,64.774,0.0173649921264705,0.2782844968660265,13.11460663042823,0.0,3.990933735773288,1.0,1,,True
61,BOLN41-NINF41,,56,475,51.404,0.017368298186911522,0.278297408761964,13.114631722726413,0.0,3.990933735773288,1.0,1,,True
62,BOTW41-CHIL41,,59,145,7.479,0.014119534697152027,0.274903061906672,13.37197317360117,0.0,4.288269124405946,1.0,1,,True
63,BOTW41-LOVE41,,59,418,14.672,0.014176663031624863,0.27480916030534347,13.37188439109563,0.0,4.288269124405946,1.0,1,,True
64,BRAW21-ELLA21,,62,203,16.883,0.034446262512586624,0.3195573950127348,13.558332069742518,0.0,1.2995629695577395,1.0,1,,True
65,BRAW21-KIRK21,,62,372,21.826,0.02924379180793549,0.2962493127462659,104.40276347780414,0.0,1.2995629695577395,1.0,1,,True
66,BRAW21-MONF21,,62,457,51.155,0.01735583031961685,0.278284625158831,13.114516135532652,0.0,2.1372457237637783,1.0,1,,True
67,BRAW4A-PADI41,,64,517,59.3,0.020344013490725125,0.30545699831365936,12.051558513306373,0.0,3.0974841942023423,1.0,1,,True
68,BRED21-MACC21,,80,420,19.612,0.029614521721395067,0.3133817943096064,11.719771005252847,0.0,1.5808900098174117,1.0,1,,True
69,BRED21-SMAN21,,80,636,15.633,0.02481649395509499,0.22271956758139833,125.9028291834486,0.0,1.572492187720108,1.0,1,,True
70,BRED21-STAL21,,80,654,15.054,0.0334068187857048,0.31864579181612857,11.495079949689284,0.0,1.9419963600014685,1.0,1,,True
71,BRFO41-NORM41,,69,494,61.676,0.025501005253258966,0.32219988326091187,12.03645384138075,0.0,1.9427836558230906,1.0,1,,True
72,BRFO41-NORM41,,69,494,61.676,0.025501005253258966,0.32219988326091187,12.03645384138075,0.0,1.9427836558230906,1.0,1,,True
73,BRIM2A-TOTT23,,90,721,7.748,0.0336740126484254,0.3156572663913268,29.32541038749068,0.0,1.9419963600014685,1.0,1,,True
74,BRIM2A-WALX22,,90,760,5.865,0.03455669224211424,0.320036231884058,11.41863521311032,0.0,1.9419963600014685,1.0,1,,True
75,BRIM2B-TOTT22,,92,726,7.6979999999999995,0.033499772668225514,0.3144656079501169,34.19352516553517,0.0,1.9419963600014685,1.0,1,,True
76,BRIM2B-WALX22,,92,760,5.997,0.03455269301317325,0.3200537768884443,11.418565565589956,0.0,1.9419963600014685,1.0,1,,True
77,BRIN21-CHTE21,,97,140,22.683999999999997,0.017302669282313526,0.2768760469934757,17.350018235513662,0.0,1.5808900098174117,1.0,1,,True
78,BRIN21-JORD21,,97,350,14.746,0.03318145598806455,0.3035051878475518,45.79325428852832,0.0,1.04762830663863,1.0,1,,True
79,BRIN21-NORL2A,,97,489,16.102,0.03325208048689604,0.28578942056887346,64.87990331930145,0.0,0.7998925547681724,1.0,1,,True
80,BRIN21-TEMP21,,97,688,2.757,0.034562023939064206,0.3209330794341676,11.38597832070938,0.0,1.599785109536345,1.0,1,,True
