,Node 1,Node 2,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
0,ABNE1Q,ABNE3-,1.05,27.98,0.0,60.0,shet_tx,8,9,132,33
1,ABNE1R,ABNE3-,1.05,28.5,0.0,60.0,shet_tx,10,9,132,33
2,ACHR1R,ACHR3-,0.36,18.0,0.0,90.0,shet_tx,4,3,132,33
3,AIGA1Q,AIGA5-,1.76,44.89,0.0,22.0,shet_tx,21,2249,132,
4,ALNE1Q,ALNE3J,0.365,26.0,0.0,120.0,shet_tx,31,33,132,33
5,ALNE1R,ALNE3J,0.365,26.0,0.0,120.0,shet_tx,32,33,132,33
6,ANSU1-,ANSU3-,0.817,27.121,0.0,45.0,shet_tx,51,52,132,33
7,ARBR1Q,ARBR3-,0.7,28.29,0.0,45.0,shet_tx,54,53,132,33
8,ARBR1R,ARBR3-,0.7,28.29,0.0,45.0,shet_tx,55,53,132,33
9,ARDK1-,ARDK3K,0.807,24.876,0.0,45.0,shet_tx,56,57,132,33
10,ARMO1J,ARMO3-,0.615,17.82,-0.026,60.0,shet_tx,59,58,132,33
11,BEAU1J,BEAU1P,0.177,3.6,0.0,150.0,shet_tx,112,111,132,132
12,BEAU1J,BEAU3-,1.04,27.73,0.0,45.0,shet_tx,112,103,132,33
13,BEAU1K,BEAU1Q,0.177,3.6,0.0,150.0,shet_tx,102,99,132,132
14,BEAU1K,BEAU3-,1.04,27.73,0.0,45.0,shet_tx,102,103,132,33
15,BEAU2J,BEAU1J,0.6786,12.2312,-0.0009,120.0,shet_tx,98,112,275,132
16,BEAU2J,BEAU1J,0.6786,12.1644,-0.0009,120.0,shet_tx,98,112,275,132
17,BEAU2K,BEAU1K,0.6786,12.1895,-0.0009,120.0,shet_tx,110,102,275,132
18,BEAU4-,BEAU2J,0.0376,1.5954,-0.0004,1200.0,shet_tx,109,98,400,275
19,BEAU4-,BEAU2K,0.0374,1.5937,-0.0004,1200.0,shet_tx,109,110,400,275
20,BEIN11,BEIN31,0.36,18.0,0.0,120.0,shet_tx,126,127,132,33
21,BERB2Q,BERB3-,0.42,20.0,0.0,120.0,shet_tx,136,137,275,33
22,BHLA11,BHLA31,0.36,18.0,0.0,120.0,shet_tx,145,144,132,33
23,BLHI2J,BLHI1J,0.1486,5.3035,-0.0006,360.0,shet_tx,160,162,275,132
24,BLHI2K,BLHI1K,0.1506,5.3034,-0.0006,360.0,shet_tx,165,170,275,132
25,BLHI4-,BLHI2J,0.0264,1.5331,-0.0005,1200.0,shet_tx,167,160,400,275
